title,body,labels,links,size,comments
Individual list view - filters,"Similar to the home page, the filters should not be hidden, requiring user to know to click a tiny funnel icon. Filters should be displayed and expanded by default, with an option to minimise them to the left. Can be a common component shared with home page.",UI,,Med,to be adressed prior to release of UX designs
Individual list view - list attributes,"List attributes are split into 2 separate groupings - under the title and to the far right of the window. I find this confusing and visually disjointed. I recommend keeping it simpler but grouping all attributes together in one place. Editing metadata is confusing as it is an icon only that is next to the text ""edit fields"" (for the toggle to the left but its not clear this is so).",UI,,Low,could be adressed prior to release of UX designs
Individual list view - entry details,"In the list view, matched taxa are links to species pages but when viewing the details by clicking on a row, the scientific name is not linked to a species page (it should be linked). Content on the side panel is too vertically spaced out and requires more scrolling than it should. The vertical spacing is greater than other parts of the site and is inconsistent as well.",UI,,Low,could be adressed prior to release of UX designs
Individual list view - taxon names,Scientific names are not formatted appropriately. E.g. genus names and lower should be in italics. ALA has existing code to detect these so should reuse code and not try to implement from scratch. Note old lists doesn't do it either but should for matched names as we have the rank info to allow it.,UI,,Low,Resolved?  Supplied names are not italicised but scientific names are
Deep linking,"One page application means no obvious URL can be created to go straight to (for example) authoritative, sensitive lists or conservation lists (comment by data team)",UI,,Med,Could be addressed in Phase 2 of lists project?
Pagination,"Need to be able to display more than 40 items, also need option for all lists. Paging is a total pain  (comment by data team)",UI,,Low,could be adressed prior to release of UX designs
Accessibility,"On all pages the descriptive text within search boxes, paging descriptions for number of records and links such as for DR are way too pale. There is not enough contrast, and not meeting accessibility needs. 
This is a problem on so many interfaces (web and mobile), it seems current theme trends are for the paler the better which is very difficult for people with sight impairments and colour delineation problems.
Some hints here:  Color | Accessibility Guidelines.  (comment by data team). After fixing these issues, suggesed that site be tested with one of the Accessibiity checking tools.",UI,,High,to be addressed prior to release of UX designs 
Back button support,"Needs to be supported. Related to deep linking and List sorting, as solution is to use URL state management. E.g. Login, click ""my lists"", click a list to open it, click back button. I expect to see ""my lists"" but I see the default list search result. ",UI,,,
i18n support,"For LA community - touches most of the UI code, so big job. Don't need non-language translations, as LA community will generate these.",UI,,,
Unit tests,"Needed for all public service methods in backend and any pure functions in front end, as an initial goal",source,,,
Integration tests,"As needed, e.g., end to end imports, collectory interactions, etc.",source,,,
Authentication timeout bug,Authentication token refresh not working (the incorrect solution applied is to extend the token life in cognito),UI,,,
Add Fathom for analytics,Could be handled by ALA skin React library (old UI),UI,,,
Add FreshWidget for FD feedback form,Could be handled by ALA skin React library (old UI),UI,,,
My Lists filter bug,"Related to item 15. I clicked the ""My lists"" filter while the default search was loading and I can see in the UI that ""My lists"" is ticked but I am still seeing the default list items. Ticking it on and off does not help and I needed to reload the page to fix. I expect that my notes on Row 15: ""Facet for list types"" will resolve this when implemented as required. ",UI,,,
List migration of data,"List migration is failing for non-core fields. E.g. I uploaded a list with the �family� column. I expect that it will be displayed correctly (not �rawfamily�) and it will be recognised as a �supplied core field� (e.g. click on an item in the list, click �show supplied values� toggle in the right hand side dialog. See https://lists.test.ala.org.au/list/67aa6aa4b0475b7b7ae74b8e and https://lists-test.ala.org.au/speciesListItem/list/drt1702260668805 ",,,,
Support legacy URL resolving,"Assuming that the old lists domain will redirect to the new version (so existing links from both internal and external sources continue to resolve), the old UI URL scheme should be supported in a legacy mode, where the old URLs are ""caught"" and redirected to the new pattern, with a lookup process that tries to identify the old dataResourceUid value is converted to the new UUID ID value. E.g. the EPB Clist URL of https://lists.ala.org.au/speciesListItem/list/dr656 is auto-redirected to the new version (using test URL): https://lists.test.ala.org.au/list/67a9a88bb0475b7b7add30bc ",,,,
Removed hard-coded max page number,"Performance testing revealed some deep pagination requests were very slow. A short-term fix was to put a silent, hard limit on the number of pages that could be viewed. Attempting to view pages after 10000 items results in a an empty result set. Example code - RESTController line: https://github.com/AtlasOfLivingAustralia/species-lists/blob/testing/lists-service/src/main/java/au/org/ala/listsapi/controller/RESTController.java#L249",backend,,,
Upload list UI,"No doco or help to inform user on what format the upload file should ahere to.
Some examples fail to upload, with file that is valid for old lists, if some records contain mostly empty values or non-matching names.
Using taxonID in place of scientificName shoiuld work but fails in new lists",UI,,,
OpenAPI  - show app version number,Needed for testing to ensure correct version is loaded when testing releases,UI,,,
Downloads - S3 links should be configurable,"AWS features should be optional, for LA deployments. Downloads currently redirect to S3 specfic path.",backend,,,
Large downloads seem to fail,"Large downloads can be quite slow to load and with the absence of any progress functionality, the user has no wqay of knowing if it has failed or is running. May need a progress or updsate URL to be sent back, similar to the Biocache download service.",backend,,,
CICD doco,"Need a readme that describes what this is, what it does, how to configure, any manual intervention that is optional or mandatory, where users can find the docker images (because they are not in nexus, this should probably be in the root readme). ",documentation,,,
