Summary,Category,Size (S/M/L),Details,Link,priority,Status / comment
Home/landing page - search bar,UI|imported,size-S,The search bar is nestled between 2 other widgets used to modify the table/list of entries. This makes it a bit harder to understand what it is. I think the old lists with a dedicated search bar with no other widgets to the left or right is preferable. Search bar should have a dedicated search button (missing) and should be consistent with similar search bars on other ALA tools. Items/page and sort options should be grouped together and visually tied to the results table,,priority-low,could be adressed prior to release of UX designs
Home/landing page - results table,UI|imported,size-M,"Old Lists tool had many columns to help a user visually determine attributes of a list before opening a given list. New version has minimum attributes (3 vs 9 in old). I think new lists could include a few more attributes, such as creation date and/or modified date. Public could be removed as it seems redundant, as most users can't see non-public lists, apart from their own lists and there is a separate page for that. Also needs to be able to be sorted by some of these attributes and sortable tables are an accepted component type (see sorting  item 14)",,priority-low,could be adressed prior to release of UX designs
Pagination,UI|imported,size-S,"Clicking to a different page for the results table can seem like nothing has happened, as the content is update but page does not move/change noticeably. View should auto-scroll to the top of the table view when pagination is triggered so user is visually nudged that content has changed",,priority-low,could be adressed prior to release of UX designs
Individual list view - filters,UI|imported,size-M,"Similar to the home page, the filters should not be hidden, requiring user to know to click a tiny funnel icon. Filters should be displayed and expanded by default, with an option to minimise them to the left. Can be a common component shared with home page.",,priority-med,to be adressed prior to release of UX designs
Individual list view - list attributes,UI|imported,size-M,"List attributes are split into 2 separate groupings - under the title and to the far right of the window. I find this confusing and visually disjointed. I recommend keeping it simpler but grouping all attributes together in one place. Editing metadata is confusing as it is an icon only that is next to the text ""edit fields"" (for the toggle to the left but its not clear this is so).",,priority-low,could be adressed prior to release of UX designs
Individual list view - entry details,UI|imported,size-S,"In the list view, matched taxa are links to species pages but when viewing the details by clicking on a row, the scientific name is not linked to a species page (it should be linked). Content on the side panel is too vertically spaced out and requires more scrolling than it should. The vertical spacing is greater than other parts of the site and is inconsistent as well.",,priority-low,could be adressed prior to release of UX designs
Individual list view - taxon names,UI|imported,size-S,Scientific names are not formatted appropriately in species details pop-out. E.g. genus names and lower should be in italics. ALA has existing code to detect these so should reuse code and not try to implement from scratch. Note old lists doesn't do it either but should for matched names as we have the rank info to allow it.,,priority-low,"Resolved?  Supplied names are not italicised but scientific names are. Not in the ""details"" pop-out view on right side of screen - scientific name field not formatted."
Deep linking,UI|imported,size-M,"One page application means no obvious URL can be created to go straight to (for example) authoritative, sensitive lists or conservation lists (comment by data team)",,priority-med,Could be addressed in Phase 2 of lists project?
Pagination,UI|imported,size-M,"Need to be able to display more than 40 items, also need option for all lists. Paging is a total pain  (comment by data team)",,priority-low,could be adressed prior to release of UX designs
Accessibility,UI|imported,size-M,"On all pages the descriptive text within search boxes, paging descriptions for number of records and links such as for DR are way too pale. There is not enough contrast, and not meeting accessibility needs. 
This is a problem on so many interfaces (web and mobile), it seems current theme trends are for the paler the better which is very difficult for people with sight impairments and colour delineation problems.
Some hints here:  Color | Accessibility Guidelines.  (comment by data team). After fixing these issues, suggesed that site be tested with one of the Accessibiity checking tools.",,priority-high,to be addressed prior to release of UX designs 
Back button support,UI|imported,size-M,"Needs to be supported. Related to deep linking and List sorting, as solution is to use URL state management. E.g. Login, click ""my lists"", click a list to open it, click back button. I expect to see ""my lists"" but I see the default list search result. ",,,
i18n support,UI|imported,size-L,"For LA community - touches most of the UI code, so big job. Don't need non-language translations, as LA community will generate these.",,,
Unit tests,source|imported,size-M,"Needed for all public service methods in backend and any pure functions in front end, as an initial goal",,,
Integration tests,source|imported,size-M,"As needed, e.g., end to end imports, collectory interactions, etc.",,,
Authentication timeout bug,UI|imported,size-S,Authentication token refresh not working (the incorrect solution applied is to extend the token life in cognito),,,
Add Fathom for analytics,UI|imported,size-S,Could be handled by ALA skin React library (old UI),,,
Add FreshWidget for FD feedback form,UI|imported,size-S,Could be handled by ALA skin React library (old UI),,,
My Lists filter bug,UI|imported,size-S,"Related to item 15. I clicked the ""My lists"" filter while the default search was loading and I can see in the UI that ""My lists"" is ticked but I am still seeing the default list items. Ticking it on and off does not help and I needed to reload the page to fix. I expect that my notes on Row 15: ""Facet for list types"" will resolve this when implemented as required. ",,,
List migration of data,|imported,size-S,"List migration is failing for non-core fields. E.g. I uploaded a list with the �family� column. I expect that it will be displayed correctly (not �rawfamily�) and it will be recognised as a �supplied core field� (e.g. click on an item in the list, click �show supplied values� toggle in the right hand side dialog. See https://lists.test.ala.org.au/list/67aa6aa4b0475b7b7ae74b8e and https://lists-test.ala.org.au/speciesListItem/list/drt1702260668805 ",,,
Support legacy URL resolving,UI|backend|imported,size-M,"Assuming that the old lists domain will redirect to the new version (so existing links from both internal and external sources continue to resolve), the old UI URL scheme should be supported in a legacy mode, where the old URLs are ""caught"" and redirected to the new pattern, with a lookup process that tries to identify the old dataResourceUid value is converted to the new UUID ID value. E.g. the EPB Clist URL of https://lists.ala.org.au/speciesListItem/list/dr656 is auto-redirected to the new version (using test URL): https://lists.test.ala.org.au/list/67a9a88bb0475b7b7add30bc ",,,
Removed hard-coded max page number,backend|imported,size-M,"Performance testing revealed some deep pagination requests were very slow. A short-term fix was to put a silent, hard limit on the number of pages that could be viewed. Attempting to view pages after 10000 items results in a an empty result set. Example code - RESTController line: https://github.com/AtlasOfLivingAustralia/species-lists/blob/testing/lists-service/src/main/java/au/org/ala/listsapi/controller/RESTController.java#L249",,,
Upload list UI,UI|imported,size-S,"No doco or help to inform user on what format the upload file should ahere to.
Some examples fail to upload, with file that is valid for old lists, if some records contain mostly empty values or non-matching names.
Using taxonID in place of scientificName shoiuld work but fails in new lists",,,
OpenAPI  - show app version number,UI|imported,size-S,Needed for testing to ensure correct version is loaded when testing releases,,,
Downloads - S3 links should be configurable,backend|imported,size-S,"AWS features should be optional, for LA deployments. Downloads currently redirect to S3 specfic path.",,,
Large downloads seem to fail,backend|imported,size-S,"Large downloads can be quite slow to load and with the absence of any progress functionality, the user has no wqay of knowing if it has failed or is running. May need a progress or updsate URL to be sent back, similar to the Biocache download service.",,,
CICD doco,documentation|imported,size-S,"Need a readme that describes what this is, what it does, how to configure, any manual intervention that is optional or mandatory, where users can find the docker images (because they are not in nexus, this should probably be in the root readme). ",,,
